id,level,category,subcategory,question,option_0,option_1,option_2,option_3,correct_answer,explanation,source
83,AEMT,Fluid Boluses,Adult,"For a patient in septic shock who remains hypotensive after 2000 mL of fluid, what is the next step?",Repeat fluid bolus 1000 mL,Administer Atropine 1 mg,Administer Push Dose Epinephrine 1:100000,Switch to D5W infusion,2,"If SBP <90 mmHg after 2000 mL IV fluids in suspected sepsis, Push Dose Epinephrine 1:100000 is indicated.",SNHD Protocols
84,AEMT,Fluid Boluses,Burns,"What is the fluid bolus for a 14-year-old burn patient with >20% TBSA?",1000 mL NS or LR,20 mL/kg NS or LR,500 mL NS or LR,250 mL NS or LR,2,"For adults (13 years and above) with burns >20% TBSA or signs of hypoperfusion, the bolus is 500 mL NS or LR.",SNHD Protocols
85,AEMT,Fluid Boluses,Pediatric,"For a 4-year-old burn patient with signs of hypoperfusion, what is the initial fluid bolus?",500 mL NS or LR,250 mL NS or LR,125 mL NS or LR,20 mL/kg NS or LR,2,"Protocol specifies a fixed bolus of 125 mL NS or LR for burn patients 5 years or less.",SNHD Protocols
86,AEMT,Fluid Boluses,Pediatric,"What is the maximum total fluid volume for a pediatric patient in shock before contacting medical control?",20 mL/kg,40 mL/kg,60 mL/kg,80 mL/kg,2,"Pediatric fluid boluses (20 mL/kg) may be repeated to a maximum of 60 mL/kg.",SNHD Protocols
87,AEMT,Fluid Boluses,Abdominal Pain,"For an adult with abdominal pain and nausea, what is the initial fluid bolus if no signs of hypovolemia are present but hydration is needed?",250 mL NS or LR,500 mL NS or LR,1000 mL NS or LR,Fluid is contraindicated,1,"The Abdominal Pain/Nausea protocol suggests a 500 mL NS or LR bolus which may be repeated up to 2000 mL.",SNHD Protocols
88,AEMT,Fluid Boluses,Cold Injury,"In a patient with hypothermia and hypotension (SBP <90), what is the fluid resuscitation protocol?",20 mL/kg warmed NS,500 mL NS or LR (max 2000 mL),1000 mL NS or LR rapid bolus,No fluids until rewarmed,1,"Hypothermia protocol calls for 500 mL NS or LR bolus, repeated to effect SBP >90, up to max 2000 mL.",SNHD Protocols
89,AEMT,Fluid Boluses,Cardiogenic Shock,"Why are large fluid boluses generally used with caution in cardiogenic shock?",They cause rapid vasodilation,They dilute cardiac enzymes,They may precipitate or worsen pulmonary edema,They induce hypothermia,2,"Cardiogenic shock patients are at risk for pulmonary edema; protocols often specify checking lung sounds (rales) before repeating boluses.",SNHD Protocols
90,AEMT,Fluid Boluses,Hyperglycemia,"For a pediatric patient with diabetic ketoacidosis (DKA) suspicion and BGL >250 mg/dL, the fluid bolus is limited to:",10 mL/kg,20 mL/kg,30 mL/kg,40 mL/kg,1,"If DKA is suspected (BGL >250), the fluid bolus is strictly limited to 20 mL/kg to avoid cerebral edema risk.",SNHD Protocols
91,AEMT,Fluid Boluses,Allergic Reaction,"In anaphylactic shock unresponsive to epinephrine, what is the role of fluid boluses?",Contraindicated due to airway edema,500 mL bolus repeated up to 2000 mL,Small 250 mL boluses only,Fluids are second line to Diphenhydramine,1,"Hypovolemia or distributive shock in anaphylaxis should be addressed with fluid boluses (500 mL, max 2000 mL) in addition to epinephrine.",SNHD Protocols
92,AEMT,Fluid Boluses,Trauma,"In a pediatric trauma patient, how many times can the initial 20 mL/kg bolus be repeated if no rales are present?",1 time,2 times,3 times,Cannot repeat without order,1,"The pediatric trauma protocol allows the 20 mL/kg bolus to be repeated up to 2 times (total 3 boluses or 60 mL/kg).",SNHD Protocols
93,AEMT,Fluid Boluses,Hyperglycemia,"For a pediatric patient with altered mental status and BGL >250 mg/dL (not DKA specific), what is the recommended bolus?",10 mL/kg,20 mL/kg,500 mL,No fluid,0,"The Pediatric Altered Mental Status protocol specifies a 10 mL/kg bolus if BGL >250 mg/dL to avoid rapid fluid shifts.",SNHD Protocols
