id,level,category,subcategory,question,correct_answer,source
103,EMT,SNHD Protocols,Transport Criteria,"For a patient to be transported to an approved alcohol and drug abuse facility, the pulse rate must be between what range?",60-120,SNHD Protocols - Quizlet
104,EMT,SNHD Protocols,Hyperthermia,"Which of the following should be performed for a patient with hyperthermia?","Remove from environment, Temperature measurement, Remove tight clothing, Passive cooling measures",SNHD Protocols - Quizlet
105,EMT,SNHD Protocols,Transfer,"What type of patients should ambulance attendants transfer?","only those whose therapy required during transfer lies within the attendant's capabilities",SNHD Protocols - Quizlet
106,EMT,SNHD Protocols,Dystonic Reaction,"Describe a dystonic reaction","Involuntary muscle movements or spasms of the face, neck, and upper extremities. Typically an adverse reaction to drugs such as Haloperidol",SNHD Protocols - Quizlet
107,EMT,SNHD Protocols,CPR,"If cardiac arrest is witnessed by EMS or CPR in progress and patient is unresponsive with no pulse, begin CPR at 30 compressions and two ventilations",False (need to do CCC),SNHD Protocols - Quizlet
108,EMT,SNHD Protocols,Transport Criteria,"For a patient to be transported to an approved alcohol and drug abuse facility, the GCS score must be above what level?",14,SNHD Protocols - Quizlet
109,EMT,SNHD Protocols,Prehospital Care,"What does optimal prehospital care result from?","(1) Careful patient assessment (2) Appropriate medical consultation (3) essential prehospital emergency medical services",SNHD Protocols - Quizlet
110,EMT,SNHD Protocols,Protocols,"What protocols must be followed in the specific sequence noted?",General assessment,SNHD Protocols - Quizlet
111,EMT,SNHD Protocols,Pediatrics,"What is the most common cause of bradycardia in a child?",Hypoxemia,SNHD Protocols - Quizlet
112,EMT,SNHD Protocols,Drowning,"For a drowning victim in cardiac arrest, what should emphasis be placed on?",oxygenation/ventilation,SNHD Protocols - Quizlet
113,EMT,SNHD Protocols,Pediatrics,"How much does a leg represent in a pediatric patient in the rule of 9's?",14,SNHD Protocols - Quizlet
114,EMT,SNHD Protocols,Trauma Transport,"Adult trauma calls that meet Step 1 or 2 of the Trauma Field Triage Criteria Protocol and occur within the St. Rose Dominican Hospital - Siena Campus Catchment Area are to be transported to Sunrise Hospital & Medical Center",True,SNHD Protocols - Quizlet
115,EMT,SNHD Protocols,Spinal Injury,"When are backboard indicated?",extrication/patient movement,SNHD Protocols - Quizlet
116,EMT,SNHD Protocols,Trauma Transport,"The St. Rose Siena catchment area is for all trauma calls that meet Step 3 or in the provider's judgment meet Step 4 of the Trauma Field Triage Criteria Protocol and occur within the City of Henderson",True,SNHD Protocols - Quizlet
117,EMT,SNHD Protocols,Burns,"How should oxygen be delivered to patients with smoke inhalation?",100% NRB,SNHD Protocols - Quizlet
118,EMT,SNHD Protocols,Spinal Injury,"Patients with a possible spinal injury found in motor vehicles should not be asked if they are able to exit the motor vehicle on their own",False,SNHD Protocols - Quizlet
119,EMT,SNHD Protocols,Airway,"In patients in which the ability to ventilate cannot be established, where shall the patient be transported to?",the nearest emergency department,SNHD Protocols - Quizlet
120,EMT,SNHD Protocols,Shock,"What are possible causes of Cardiogenic Shock?","Myocardial contusion, Heart failure, MI, toxins, Cardiomyopathy",SNHD Protocols - Quizlet
121,EMT,SNHD Protocols,Spinal Injury,"When is cervical stabilization not performed?","Injuries where placement of the collar might compromise patient assessment, airway management, ventilation, and/or hemorrhage control. Patients in cardiac arrest. Penetrating trauma to the head and/or neck with no evidence of spinal injury",SNHD Protocols - Quizlet
122,EMT,SNHD Protocols,Patient Care,"When should patient care be rendered?",en route to a definitive treatment facility,SNHD Protocols - Quizlet
123,EMT,SNHD Protocols,Defibrillation,"Adult pads may be used on children weighing more than how much?",15 kg,SNHD Protocols - Quizlet
124,EMT,SNHD Protocols,Trauma,"A patient who meets step 2 of the Trauma Triage Field Criteria, must be transported to what level trauma center?",Level 1 or 2,SNHD Protocols - Quizlet
125,EMT,SNHD Protocols,Burns,"What does the Parkland burn Formula define?",how much fluid is given over the 24 hours for a burned patient,SNHD Protocols - Quizlet
126,EMT,SNHD Protocols,Neonatal,"What is a normal blood glucose reading in a newborn?",40 mg/dL,SNHD Protocols - Quizlet
127,EMT,SNHD Protocols,Drowning,"If a drowning victim has foam in the airway, the foam should be suctioned out initially",False,SNHD Protocols - Quizlet
128,EMT,SNHD Protocols,Pediatric Centers,"Which of the following are approved pediatric centers?","Summerlin Hospital, UMC, St. Rose Siena, Sunrise Hospital",SNHD Protocols - Quizlet
129,EMT,SNHD Protocols,OB,"How long can postpartum eclampsia/pre-eclampsia present after childbirth?",up to 6 weeks,SNHD Protocols - Quizlet
130,EMT,SNHD Protocols,Neonatal,"What is the compression to ventilation ratio in neonatal resuscitation?",3:1,SNHD Protocols - Quizlet
131,EMT,SNHD Protocols,Medications,"What medications can be administered or monitored during an inter facility transfer?",all medications listed on the official drug inventory as appropriate for level of license and per protocol,SNHD Protocols - Quizlet
132,EMT,SNHD Protocols,Waiting Room,"A patient may be placed in the ER waiting room if their respiratory rate is in what range?",10-20,SNHD Protocols - Quizlet
133,EMT,SNHD Protocols,Spinal Injury,"Cervical stabilization is performed on any patient with a potential for spinal injury when which of the following criteria are met?","Patient with AMS, Patient with focal neurological deficit, Patient that has evidence of drug/alcohol intoxication, Patient with any painful or distracting injury, Patient with midline cervical spinal tenderness",SNHD Protocols - Quizlet
134,EMT,SNHD Protocols,Trauma,"Step 2 of the TFTC assess or measures what?",anatomy of injury,SNHD Protocols - Quizlet
135,EMT,SNHD Protocols,Stroke,"What has to be documented for a patient having a stroke?","Last known normal (onset), Witness with phone number, Cincinnati Stroke Scale",SNHD Protocols - Quizlet
136,EMT,SNHD Protocols,Pediatric Transport,"The Pediatric Patient Destination protocol is used for patients less than 18 years of age",True,SNHD Protocols - Quizlet
137,EMT,SNHD Protocols,Burns,"Where should a pediatric burn patient be transported to?",UMC Pediatric ED,SNHD Protocols - Quizlet
138,EMT,SNHD Protocols,OB,"Choose all that apply if there is an umbilical cord presentation during childbirth","Obtain and document cord pulse, Position the patient in Trendelenburg and slightly on the left side, Insert gloved hand to lift the baby off the cord, Wrap the cord and keep it moist",SNHD Protocols - Quizlet
139,EMT,SNHD Protocols,Heat Illness,"Which of the following describes heat cramps?","Normal to elevated body temp, Weakness, Muscle cramping",SNHD Protocols - Quizlet
140,EMT,SNHD Protocols,Trauma,"Step 4 of the TFTC assess or measures what?",special considerations,SNHD Protocols - Quizlet
141,EMT,SNHD Protocols,Behavioral,"What are possible causes of a patient's behavior experiencing a behavioral emergency?","Post-ictal state, Hypoglycemia/electrolytes, Excited delirium, Hypoxia, Intoxication/overdose, Head Injury",SNHD Protocols - Quizlet
142,EMT,SNHD Protocols,Cardiac Arrest,"Resuscitation for a medical arrest may be terminated when which of the following conditions are met?","Physician approves termination, 20 minutes of CPR, Effective ventilation with oxygenation, Administration of appropriate ACLS medications, Persistent asystole or agonal rhythm, Capnography < 10mmHg",SNHD Protocols - Quizlet
143,EMT,SNHD Protocols,Patient Definition,"What is the definition of a patient?","A person identified by an informed 2nd or 3rd party caller as requiring evaluation for potential illness or injury, A person who has obvious evidence of illness or injury, A person who has a complaint of mechanism suggestive of potential illness or injury",SNHD Protocols - Quizlet
144,EMT,SNHD Protocols,Trauma Centers,"What level trauma center is St. Rose Siena?",Level 3,SNHD Protocols - Quizlet
145,EMT,SNHD Protocols,Carbon Monoxide,"Patients who have been exposed to carbon monoxide should be transported to what type of facility?",Hyperbaric chamber,SNHD Protocols - Quizlet
146,EMT,SNHD Protocols,Psychiatric,"A psychiatric patient without a potentially life threatening illness may be transported to a Remote Outpatient Emergency Department",False,SNHD Protocols - Quizlet
147,EMT,SNHD Protocols,Trauma,"A GCS below what level places a patient in Step 1 of the TFTC?",13,SNHD Protocols - Quizlet
148,EMT,SNHD Protocols,OB,"Postpartum Eclampsia/Pre-eclampsia commonly presents how long after childbirth?",Up to 48 hours,SNHD Protocols - Quizlet
149,EMT,SNHD Protocols,Cardiac Arrest,"Identify the correct T's in the pneumonic H's and T's","Tension Pneumothorax, Tamponade Cardiac, Toxins, Thrombosis pulmonary, Thrombosis coronary",SNHD Protocols - Quizlet
150,EMT,SNHD Protocols,Burns,"Patients sustaining burn injuries shall be transported in accordance with what protocol?",Burns protocol,SNHD Protocols - Quizlet
151,EMT,SNHD Protocols,Trauma Transport,"The Sunrise Hospital catchment area is for all adult trauma calls and pediatric Step 3 trauma calls that meet the Trauma Field Triage Criteria Protocol",True,SNHD Protocols - Quizlet
152,EMT,SNHD Protocols,Trauma Transport,"Adult trauma calls that meet Step 1 or 2 of the Trauma Field Triage Criteria Protocol and occur in the geographical area bordered by Paradise road to the east, Sunset Road to the north, Interstate 15 to the west, and the county line to the south, are to be transported to University Medical Center/Trauma",True,SNHD Protocols - Quizlet
153,EMT,SNHD Protocols,DNR,"A DNR or POLST order shall be validated by confirming the patient's name, age, condition of identification form",True,SNHD Protocols - Quizlet
154,EMT,SNHD Protocols,Transport,"For patients outside a 50 mile radius from protocol designated transport destinations, where shall the provider transport the patient to?",the nearest appropriate facility,SNHD Protocols - Quizlet
155,EMT,SNHD Protocols,Protocols,"What is the purpose of the protocol manual?",Provide guidance to all prehospital care providers and emergency department physicians within the Clark County EMS System,SNHD Protocols - Quizlet
156,EMT,SNHD Protocols,Protocols,"What are the protocols considered?",guidelines,SNHD Protocols - Quizlet
157,EMT,SNHD Protocols,Cardiac Arrest,"What is recommended if hypoxia is the cause of the cardiac arrest?",Early ventilation,SNHD Protocols - Quizlet
158,EMT,SNHD Protocols,Cold Injury,"Localized cold injuries should be rubbed to warm the skin",False,SNHD Protocols - Quizlet
159,EMT,SNHD Protocols,Spinal Injury,"Patients placed on backboard for extrication or movement should not be moved to a soft mattress",False,SNHD Protocols - Quizlet
160,EMT,SNHD Protocols,Neonatal,"Deep suctioning is recommended during neonatal resuscitation",False,SNHD Protocols - Quizlet
161,EMT,SNHD Protocols,Trauma Centers,"What level trauma center is UMC?",1,SNHD Protocols - Quizlet
162,EMT,SNHD Protocols,DNR,"Even if a patient indicates they wish to receive life-resuscitating treatment, the DNR/POLST Order or Identification shall be honored",False,SNHD Protocols - Quizlet
163,EMT,SNHD Protocols,Burns,"Circumferential burns meets criteria to be transported to a burn center",True,SNHD Protocols - Quizlet
164,EMT,SNHD Protocols,Burns,"A patient with burns that involve the face, hands, feet, genitalia, perineum, or major joints meets criteria to be transported to a burn center",True,SNHD Protocols - Quizlet
165,EMT,SNHD Protocols,Cardiac Arrest,"For cardiac arrest patients who are pregnant, manual CPR is recommended",True,SNHD Protocols - Quizlet
166,EMT,SNHD Protocols,Telemetry,"How shall contact with medical control be established?",by radio,SNHD Protocols - Quizlet
167,EMT,SNHD Protocols,Burns,"Ice should be applied to burns",False,SNHD Protocols - Quizlet
168,EMT,SNHD Protocols,Telemetry,"Telemetry contact should be established by radio",True,SNHD Protocols - Quizlet
169,EMT,SNHD Protocols,Monitoring,"Carefully monitor patients as you treat them; stable tachycardia may convert to unstable rhythms/condition quickly",True,SNHD Protocols - Quizlet
170,EMT,SNHD Protocols,Drowning,"All drowning patients should be transported for evaluation because of the potential for worsening over the next several hours",True,SNHD Protocols - Quizlet
171,EMT,SNHD Protocols,Burns,"How much does the head represent in an adult patient in the rule of 9's?",9%,SNHD Protocols - Quizlet
172,EMT,SNHD Protocols,Tourniquet,"Where should the time of the tourniquet be written?",somewhere clearly visible on the patient,SNHD Protocols - Quizlet
173,EMT,SNHD Protocols,Resuscitation,"If there is any question regarding patient viability, to include potential hypothermia, resuscitation will be initiated",True,SNHD Protocols - Quizlet
174,EMT,SNHD Protocols,OB,"During normal childbirth, what should happen if the amniotic sac is not already broken?",Puncture the amniotic sac,SNHD Protocols - Quizlet
175,EMT,SNHD Protocols,CPR,"How deep are compressions in the infant victim?",1.5 inches,SNHD Protocols - Quizlet
176,EMT,SNHD Protocols,CPR,"How deep are compressions in the child victim?",2 inches,SNHD Protocols - Quizlet
177,EMT,SNHD Protocols,DNR,"Faxed, copied, or electronic versions of the DNR identification/POLST are not legal and valid",False,SNHD Protocols - Quizlet
178,EMT,SNHD Protocols,Burns,"Chemical burns meets criteria to be transported to a burn center",True,SNHD Protocols - Quizlet
179,EMT,SNHD Protocols,Resuscitation,"If there is any question regarding patient viability, to include potential hypothermia, resuscitation will be initiated",True,SNHD Protocols - Quizlet
180,EMT,SNHD Protocols,Medications,"Nitroglycerin should not be administered to any patient who has had Cialis in the past 48 hours",True,SNHD Protocols - Quizlet
181,EMT,SNHD Protocols,Waiting Room,"A patient can be alert and oriented x 3 and be placed in the ER waiting room",False,SNHD Protocols - Quizlet
182,EMT,SNHD Protocols,Epistaxis,"It is very difficult to quantify the amount of blood loss with epistaxis",True,SNHD Protocols - Quizlet
183,EMT,SNHD Protocols,Oxygen,"A patient with a pulse oximetry reading above what percentage may be placed in the ER waiting room?",94,SNHD Protocols - Quizlet
184,EMT,SNHD Protocols,Trauma,"What kind of dressing should be applied to an abdominal evisceration?",Wet trauma dressing,SNHD Protocols - Quizlet
