id,level,category,subcategory,question,option_0,option_1,option_2,option_3,correct_answer,explanation,source
185,AEMT,Pediatric,Medications,"For a pediatric patient in cardiac arrest, what is the correct dose and route for Epinephrine (1:10,000)?","0.1 mg/kg IV/IO","0.01 mg/kg IV/IO","1 mg IV/IO","0.01 mg/kg IM",1,"The standard pediatric dose for Epinephrine in cardiac arrest is 0.01 mg/kg IV/IO (1:10,000 concentration).",SNHD Protocols
186,AEMT,Pediatric,Medications,"Which of the following is a contraindication for administering Nitroglycerin to a pediatric patient?","Hypertension","Recent use of erectile dysfunction medication","Tachycardia > 100 bpm","It is not indicated for pediatric patients in the AEMT formulary",3,"Nitroglycerin is generally not indicated for pediatric patients in the standard AEMT protocols provided.",SNHD Protocols
187,AEMT,Pediatric,Medications,"What is the correct pediatric dose for Glucagon if the patient weighs less than 20 kg and has no IV access?","1 mg IM","0.5 mg IM","0.05 mg/kg IM","0.1 mg/kg IM",1,"For pediatric patients < 20 kg, the Glucagon dose is 0.5 mg IM.",SNHD Protocols
188,AEMT,Pediatric,Respiratory,"For a child with a known history of wheezing (asthma), what is the correct dose of DuoNeb (Ipratropium/Albuterol)?","3 ml SVN once","2.5 ml SVN repeated every 10 minutes","5 ml SVN once","DuoNeb is contraindicated in pediatrics",0,"The protocol specifies Ipratropium 2.5 ml or DuoNeb 3 ml SVN once for patients > 2 y/o with a history of wheezing.",SNHD Protocols
189,AEMT,Pediatric,Allergic Reaction,"A 6-year-old patient is experiencing a severe allergic reaction (anaphylaxis). What is the correct dose of Epinephrine 1:1,000 via IM route?","0.3 mg","0.5 mg","0.15 mg","0.01 mg/kg (max 0.5 mg)",3,"The pediatric dose for Epinephrine 1:1,000 in anaphylaxis is 0.01 mg/kg IM, up to a maximum single dose of 0.5 mg.",SNHD Protocols
190,AEMT,Pediatric,Shock,"What is the fluid bolus volume for a pediatric patient in hypovolemic shock?","10 ml/kg","20 ml/kg","30 ml/kg","500 ml",1,"The standard pediatric fluid bolus for shock is 20 ml/kg.",SNHD Protocols
191,AEMT,Pediatric,DKA,"In a pediatric patient with suspected Diabetic Ketoacidosis (DKA) and a BGL > 250 mg/dL, the fluid bolus is limited to:","10 ml/kg","20 ml/kg","40 ml/kg","60 ml/kg",1,"Fluid boluses for suspected DKA are limited to 20 ml/kg to prevent cerebral edema.",SNHD Protocols
192,AEMT,Pediatric,Medications,"When administering Naloxone to a pediatric patient with a suspected opiate overdose, the initial dose is:","2 mg IN","0.1 mg/kg IV/IM/IN","0.4 mg IV","4 mg IN",1,"The pediatric dose for Naloxone is 0.1 mg/kg via IV/IM/IN routes.",SNHD Protocols
193,AEMT,Pediatric,Cardiac,"Which medication is indicated for a pediatric patient with symptomatic bradycardia unresponsive to oxygenation and ventilation?","Atropine","Amiodarone","Adenosine","Lidocaine",0,"Atropine (0.02 mg/kg) is indicated for symptomatic bradycardia if Epinephrine is not effective or if increased vagal tone is suspected.",SNHD Protocols
194,AEMT,Pediatric,Medications,"What is the maximum single dose of Diphenhydramine for a pediatric patient with an allergic reaction?","25 mg","50 mg","100 mg","12.5 mg",1,"The maximum single dose of Diphenhydramine for pediatrics is 50 mg.",SNHD Protocols
195,AEMT,Pediatric,Pain Management,"For a pediatric patient with moderate to severe pain, what is the IV/IO dose for Acetaminophen?","10 mg/kg","15 mg/kg","20 mg/kg","Acetaminophen is only given PO",1,"The IV/IO dose for Acetaminophen in pediatrics is 15 mg/kg.",SNHD Protocols
196,AEMT,Pediatric,Medications,"Which of the following is an accepted route for administering Glucagon to a pediatric patient?","IV","IM","IN","Rectal",1,"Glucagon is administered IM when IV access is not available.",SNHD Protocols
197,AEMT,Pediatric,Seizure,"A pediatric patient is seizing. You are an AEMT. Which medication can you administer?","Midazolam","Diazepam","Lorazepam","None; AEMTs cannot administer seizure medications",3,"Midazolam and Diazepam for seizures are typically listed for Paramedics; AEMTs generally do not administer these for seizures without specific authorization or protocol variation not shown here for AEMT.",SNHD Protocols
198,AEMT,Pediatric,Medications,"For a pediatric patient with nausea/vomiting, what is the maximum dose of Ondansetron (Zofran)?","2 mg","4 mg","8 mg","0.1 mg/kg without a max",1,"The maximum pediatric dose for Ondansetron is 4 mg.",SNHD Protocols
