id,level,category,subcategory,question,option_0,option_1,option_2,option_3,correct_answer,explanation,source
1,EMT,SNHD Protocols,,For a patient in shock what should the oxygen saturation be kept above?,90%,92%,94%,98%,2,SNHD protocol requires oxygen therapy to maintain SpO2 >94% for shock patients,SNHD Protocols
2,EMT,SNHD Protocols,,A patient on a legal psychiatric hold may be placed in the ER waiting room,TRUE,FALSE,,,1,Patients on a legal psychiatric hold (Legal 2000) are not eligible for waiting room placement,SNHD Protocols
3,EMT,SNHD Protocols,,What is the goal of the protocol manual?,To provide suggestions for care,To outline hospital procedures,To standardize prehospital care in Clark County,To list all possible medical conditions,2,The manual's goal is to standardize prehospital care in Clark County,SNHD Protocols
4,EMT,SNHD Protocols,,Describe a partial thickness (2nd degree burn),Red and painful,Blistering,Charred or leathery,Painless,1,Partial thickness (2nd degree) burns are characterized by blistering,SNHD Protocols
5,EMT,SNHD Protocols,,Oxygen therapy should be established to keep SpO2 above what level?,90%,92%,94%,98%,2,General adult assessment protocols state oxygen therapy should be used to keep SpO2 >94%,SNHD Protocols
6,EMT,SNHD Protocols,,When should defibrillation be attempted during a witnessed cardiac arrest?,After 2 minutes of CPR,Immediately,After IV access,After intubation,1,For witnessed cardiac arrest defibrillation should be attempted immediately if indicated,SNHD Protocols
7,EMT,SNHD Protocols,,What must exist for an emergency care physician to direct a prehospital provider in rendering care that is not explicitly listed within the protocols?,Provider feels capable and physician takes responsibility,Provider and physician agree condition is not addressed and notify OEMSTS,Only physician order is required,Only OEMSTS approval is required,1,Both must agree the condition is not addressed and immediately notify OEMSTS,SNHD Protocols
8,EMT,SNHD Protocols,,What is recommended if hypoxia is the cause of the cardiac arrest?,Early defibrillation,Early ventilation,Early epinephrine,Early amiodarone,1,If hypoxia is the cause of arrest early ventilation is recommended,SNHD Protocols
9,EMT,SNHD Protocols,,When transporting a patient to a remote outpatient emergency department telemetry contact does not have to be made.,TRUE,FALSE,,,1,Telemetry contact is required for all trauma center patients and other specific conditions; remote EDs are not exempt,SNHD Protocols
10,EMT,SNHD Protocols,,What is the ideal scene time for a patient having a stroke?,Less than 10 minutes,Less than 15 minutes,Less than 20 minutes,Less than 30 minutes,0,Stroke protocol dictates a scene time of less than 10 minutes,SNHD Protocols
11,EMT,SNHD Protocols,,Localized cold injuries should be rubbed to warm the skin,TRUE,FALSE,,,1,Rubbing cold injuries can cause further tissue damage and is contraindicated,SNHD Protocols
12,EMT,SNHD Protocols,,For a patient to be transported to an approved alcohol and drug abuse facility the pulse rate must be between what range?,50-100,60-120,70-130,80-140,1,Patients must have a heart rate between 60-120 to be eligible for alternative transport to these facilities,SNHD Protocols
13,EMT,SNHD Protocols,,Which of the following should be performed for a patient with hyperthermia?,Active warming,Remove from environment and passive cooling,Ice bath immersion,Do nothing,1,Treatment includes removal from environment temperature measurement removing tight clothing and passive cooling,SNHD Protocols
14,EMT,SNHD Protocols,,What type of patients should ambulance attendants transfer?,Any patient requested,Only those within their capabilities,Only critical patients,Only stable patients,1,Attendants should only transfer patients whose therapy requirements lie within their capabilities,SNHD Protocols
15,EMT,SNHD Protocols,,Describe a dystonic reaction,Seizure-like activity,Involuntary muscle movements/spasms of face/neck,Allergic rash,Respiratory distress,1,Dystonic reactions involve involuntary muscle movements or spasms often of the face/neck/upper extremities,SNHD Protocols
16,EMT,SNHD Protocols,,Patients placed on backboard for extrication or movement should not be moved to a soft mattress,TRUE,FALSE,,,1,Patients should be moved to a soft mattress as soon as possible to prevent pressure sores,SNHD Protocols
17,EMT,SNHD Protocols,,If cardiac arrest is witnessed by EMS or CPR in progress and patient is unresponsive with no pulse begin CPR at 30 compressions and two ventilations,TRUE,FALSE,,,1,Protocols emphasize Continuous Chest Compressions (CCC) or specific ratios depending on the scenario not typically 30:2 immediately for all,SNHD Protocols
18,EMT,SNHD Protocols,,Deep suctioning is recommended during neonatal resuscitation,TRUE,FALSE,,,1,Deep suctioning can cause vagal response and bradycardia; it is generally not recommended,SNHD Protocols
19,EMT,SNHD Protocols,,For a patient to be transported to an approved alcohol and drug abuse facility the GCS score must be above what level?,12,13,14,15,2,GCS must be 14 or higher for transport to alcohol/drug abuse facilities,SNHD Protocols
20,EMT,SNHD Protocols,,What level trauma center is UMC?,Level 1,Level 2,Level 3,Pediatric only,0,UMC is a Level 1 Trauma Center,SNHD Protocols
21,EMT,SNHD Protocols,,What does optimal prehospital care result from?,Rapid transport only,Careful assessment/consultation/essential services,Strict adherence to protocols only,Physician on scene,1,It results from careful patient assessment appropriate medical consultation and essential prehospital services,SNHD Protocols
22,EMT,SNHD Protocols,,What protocols must be followed in the specific sequence noted?,All protocols,General assessment,Cardiac arrest,Trauma triage,1,General assessment protocols provide a framework but clinical judgment is key; however steps like safety often come first,SNHD Protocols
23,EMT,SNHD Protocols,,What is the most common cause of bradycardia in a child?,Heart block,Hypoxemia,Drug overdose,Hypothermia,1,Hypoxemia is the most common cause of bradycardia in children,SNHD Protocols
24,EMT,SNHD Protocols,,For a drowning victim in cardiac arrest what should emphasis be placed on?,Compressions only,Defibrillation,Oxygenation/ventilation,Warming,2,Emphasis is on oxygenation and ventilation as hypoxia is the primary cause,SNHD Protocols
25,EMT,SNHD Protocols,,How much does a leg represent in a pediatric patient in the rule of 9's?,9%,14%,18%,20%,1,In pediatric patients each leg represents approximately 14%,SNHD Protocols
26,EMT,SNHD Protocols,,Adult trauma calls in St. Rose Siena area meeting criteria should go to Sunrise Trauma Center,TRUE,FALSE,,,0,Trauma calls in that specific catchment area are directed to Sunrise Trauma Center,SNHD Protocols
27,EMT,SNHD Protocols,,When are backboard indicated?,Routine transport,Extrication/patient movement,All trauma patients,Comfort measures,1,Backboards are primarily indicated for extrication and patient movement not routine transport,SNHD Protocols
28,EMT,SNHD Protocols,,Even if a patient indicates they wish to receive life-rescusitating treatment the DNR/POLST Order or Identification shall be honored,TRUE,FALSE,,,1,If a patient requests treatment it generally overrides a DNR/POLST,SNHD Protocols
29,EMT,SNHD Protocols,,St. Rose Siena catchment area trauma calls meeting step 3 or 4 go to St. Rose Siena,TRUE,FALSE,,,0,Lower acuity trauma (Step 3 or 4) in that area is transported to St. Rose Siena,SNHD Protocols
30,EMT,SNHD Protocols,,How should oxygen be delivered to patients with smoke inhalation?,Nasal cannula,Simple face mask,100% NRB,Venturi mask,2,Patients with smoke inhalation should receive high-flow oxygen via 100% Non-Rebreather Mask,SNHD Protocols
31,EMT,SNHD Protocols,,Patients with a possible spinal injury found in motor vehicles should not be asked if they are able to exist the motor vehicle on their own,TRUE,FALSE,,,1,Self-extrication can be considered if the patient is stable and able to do so without exacerbating injury,SNHD Protocols
32,EMT,SNHD Protocols,,In patients in which the ability to ventilate cannot be established where shall the patient be transported to?,Trauma center,The nearest emergency department,Specialty center,Base hospital,1,If ventilation cannot be established transport to the nearest emergency department immediately,SNHD Protocols
33,EMT,SNHD Protocols,,Circumferential burns meets criteria to be transported to a burn center,TRUE,FALSE,,,0,Circumferential burns are a criterion for burn center transport,SNHD Protocols
34,EMT,SNHD Protocols,,A patient with burns that involve the face hands feet genitalia perineum or major joints meets criteria to be transported to a burn center,TRUE,FALSE,,,0,Burns to these critical areas meet criteria for burn center transport,SNHD Protocols
35,EMT,SNHD Protocols,,What are possible causes of Cardiogenic Shock?,Hemorrhage,Myocardial contusion/Heart failure/MI,Sepsis,Anaphylaxis,1,Causes include MI heart failure myocardial contusion and toxins,SNHD Protocols
36,EMT,SNHD Protocols,,When is cervical stabilization not performed?,Penetrating trauma to head/neck with no spinal deficit,Blunt trauma,Falls,MVCs,0,Cervical stabilization is not performed in penetrating trauma to the head/neck without neurological deficit or if it compromises airway/hemorrhage control,SNHD Protocols
37,EMT,SNHD Protocols,,For cardiac arrest patients who are pregnant manual CPR is recommended,TRUE,FALSE,,,0,Manual CPR is recommended; mechanical devices may not be suitable or safe,SNHD Protocols
38,EMT,SNHD Protocols,,How shall contact with medical control be established?,By radio,By personal cell phone,By landline,In person,0,Contact should be established by radio (telemetry),SNHD Protocols
39,EMT,SNHD Protocols,,When should patient care be rendered?,On scene only,En route to a definitive treatment facility,In the waiting room,After hospital admission,1,Care should be rendered en route to a definitive treatment facility to avoid delays,SNHD Protocols
40,EMT,SNHD Protocols,,Adult pads may be used on children weighing more than how much?,10 kg,15 kg,20 kg,25 kg,1,Adult pads may be used on children weighing more than 15 kg,SNHD Protocols
41,EMT,SNHD Protocols,,A patient who meets step 2 of the Trauma Triage Field Criteria must be transported to what level trauma center,Level 3,Level 1 or 2,Any hospital,Pediatric center,1,Step 1 and 2 trauma patients require transport to a Level 1 or 2 Trauma Center,SNHD Protocols
