id,level,category,subcategory,question,options,correct_answer,explanation,source
1,AEMT,Fluid Boluses,Adult,What is the standard adult fluid bolus amount for a patient in shock?,"[""250 mL"", ""500 mL"", ""1000 mL"", ""2000 mL""]",2,Standard adult fluid bolus is 1000 mL (1 liter) of isotonic crystalloid solution.,SNHD Protocols - Fluid Therapy
2,AEMT,Fluid Boluses,Adult,"For an adult trauma patient with suspected hemorrhagic shock, how much fluid should be administered before reassessment?","[""250 mL"", ""500 mL"", ""1000 mL"", ""2000 mL""]",2,Administer 1000 mL bolus and reassess. Target systolic BP of 90 mmHg (permissive hypotension).,SNHD Protocols - Shock
3,AEMT,Fluid Boluses,Adult,"In traumatic brain injury with signs of herniation, what is the target systolic BP for fluid resuscitation?","[""80-90 mmHg"", ""90-100 mmHg"", ""100-110 mmHg"", ""At least 110-120 mmHg""]",3,"In TBI, maintain SBP ≥110-120 mmHg to ensure adequate cerebral perfusion pressure.",SNHD Protocols - Head Trauma
4,AEMT,Fluid Boluses,Pediatric,What is the pediatric fluid bolus amount per kg for shock?,"[""10 mL/kg"", ""20 mL/kg"", ""30 mL/kg"", ""40 mL/kg""]",1,Pediatric fluid bolus is 20 mL/kg of isotonic crystalloid solution.,SNHD Protocols - Pediatric Shock
5,AEMT,Fluid Boluses,Pediatric,Maximum single fluid bolus for a pediatric patient should not exceed:,"[""500 mL"", ""1000 mL"", ""1500 mL"", ""2000 mL""]",1,"Maximum single bolus is 1000 mL (1 liter), even if calculated amount is higher.",SNHD Protocols - Pediatric Fluid Therapy
6,AEMT,Fluid Boluses,Pediatric,"For a 15 kg child in shock, what is the appropriate fluid bolus?","[""150 mL"", ""300 mL"", ""500 mL"", ""1000 mL""]",1,15 kg × 20 mL/kg = 300 mL. Pediatric bolus is calculated as 20 mL/kg.,SNHD Protocols - Pediatric Calculations
7,AEMT,Medications,Dosages,What is the pediatric dose of epinephrine for anaphylaxis?,"[""0.01 mg/kg IM (max 0.3 mg)"", ""0.3 mg IM"", ""0.5 mg IM"", ""1 mg IM""]",0,"Pediatric epinephrine is 0.01 mg/kg IM, maximum 0.3 mg (1:1000 concentration).",SNHD Protocols - Pediatric Allergic Reaction
8,PARAMEDIC,Medications,Dosages,What is the dose of naloxone for opioid overdose in adults?,"[""0.4 mg IV/IM"", ""2 mg IV/IM"", ""4 mg IV/IM"", ""10 mg IV/IM""]",1,"Initial adult dose is 2 mg IV/IM, may repeat every 2-3 minutes.",SNHD Protocols - Overdose/Poisoning
9,PARAMEDIC,Medications,Procedures,Which medication can be administered via the intranasal route?,"[""Epinephrine 1:1000"", ""Naloxone"", ""Atropine"", ""Adenosine""]",1,"Naloxone can be given intranasally (2 mg in each nostril, total 4 mg).",SNHD Protocols - Alternative Routes
10,PARAMEDIC,Medications,Other,Morphine is contraindicated in patients with:,"[""Chest pain"", ""Hypotension (SBP <90)"", ""Anxiety"", ""Nausea""]",1,Morphine is contraindicated in hypotension (SBP <90) as it causes vasodilation and further BP drop.,SNHD Protocols - Pain Management
11,EMT,Transport Criteria,Transport/Admin,Which vital signs would allow a patient to be triaged to the waiting room?,"[""HR 120, RR 24, SBP 90"", ""HR 90, RR 18, SBP 130"", ""HR 140, RR 30, SBP 80"", ""GCS 13, HR 110, SBP 100""]",1,"Stable vitals: HR 90, RR 18, SBP 130 are within normal limits and appropriate for waiting room.",SNHD Protocols - Transport Decisions
12,EMT,Transport Criteria,Transport/Admin,"A patient with minor lacerations, controlled bleeding, and vitals HR 85, BP 128/82, RR 16, SpO2 98% on room air should be transported:","[""Code 3 (emergency)"", ""Code 2 (urgent)"", ""BLS non-emergency"", ""Patient can self-transport""]",2,Stable patient with minor injuries - appropriate for BLS non-emergency transport.,SNHD Protocols - Priority Classification
13,EMT,Transport Criteria,Assessment,"An intoxicated patient with GCS 14, stable airway, and no traumatic injuries should be transported:","[""Left on scene with police"", ""Code 3 to nearest ED"", ""BLS to appropriate facility"", ""Only if they consent""]",2,"Intoxicated but stable patients (GCS >13, protecting airway) can be transported BLS to appropriate facility.",SNHD Protocols - Intoxication
14,EMT,Transport Criteria,Assessment,Which finding requires immediate transport of an intoxicated patient?,"[""Strong odor of alcohol"", ""GCS <13"", ""Combative behavior"", ""Slurred speech""]",1,GCS <13 indicates significant impairment requiring emergency transport and close monitoring.,SNHD Protocols - Altered Mental Status
15,AEMT,Transport Criteria,Assessment,"For a diabetic patient with altered mental status and blood glucose of 40 mg/dL, what is the first intervention?","[""Immediate transport"", ""Oral glucose if awake"", ""IV D10 if IV established"", ""Glucagon IM""]",2,"If IV is established, give IV D10. If no IV, give oral glucose if awake/swallowing, or glucagon IM.",SNHD Protocols - Hypoglycemia
16,EMT,Trauma,Scoring,"What does ""TFTC"" stand for in trauma designation?","[""Too Far To Care"", ""Trauma Field Transport Criteria"", ""Transport For Trauma Care"", ""Trauma Facility Transport Category""]",1,TFTC = Trauma Field Transport Criteria - used to determine appropriate trauma center destination.,SNHD Protocols - Trauma Triage
17,EMT,Trauma,Scoring,"A patient with GCS 13, SBP 85, and RR 28 meets which trauma triage criteria?","[""No trauma center needed"", ""TFTC - Transport to trauma center"", ""Go to nearest ED"", ""Wait for ALS""]",1,"Abnormal vital signs (GCS <14, SBP <90, RR <10 or >29) meet TFTC for trauma center transport.",SNHD Protocols - Trauma Triage
18,EMT,Trauma,Scoring,Which mechanism of injury automatically meets trauma center criteria?,"[""Fall from standing"", ""Fall >20 feet"", ""Motorcycle crash <20 mph"", ""Minor assault""]",1,Falls >20 feet (adults) or >10 feet (children <15 years) meet trauma center criteria.,SNHD Protocols - Mechanism of Injury
19,PARAMEDIC,Trauma,Scoring,What is the Revised Trauma Score (RTS) threshold that indicates severe trauma?,"[""<5"", ""<7"", ""<11"", ""<15""]",2,RTS <11 indicates severe trauma requiring trauma center care.,SNHD Protocols - Trauma Scoring
20,EMT,Transport,Transport/Admin,"For a STEMI patient, transport should be to:","[""Nearest ED"", ""PCI-capable facility"", ""Trauma center"", ""Any hospital with cardiac unit""]",1,STEMI patients should go to a PCI-capable facility (catheterization lab) for emergent intervention.,SNHD Protocols - Cardiac Emergencies
21,EMT,Transport,Transport/Admin,A patient with a severe traumatic brain injury should be transported to:,"[""Nearest ED"", ""Trauma center with neurosurgery"", ""Psychiatric facility"", ""Urgent care""]",1,Severe TBI requires a trauma center with neurosurgical capabilities.,SNHD Protocols - TBI Transport
22,EMT,Transport,Transport/Admin,"For a patient in cardiac arrest, what is the transport priority?","[""Scene time <10 min, transport to nearest"", ""Work on scene 20+ min"", ""Transport to cardiac center only"", ""Wait for ROSC before moving""]",0,"For cardiac arrest, minimize scene time (<10 min) and transport to nearest appropriate facility.",SNHD Protocols - Cardiac Arrest
23,EMT,Cardiovascular,OB/Neonatal,"For a pregnant patient >20 weeks with trauma, positioning should be:","[""Supine"", ""Left lateral tilt"", ""Trendelenburg"", ""Right lateral decubitus""]",1,Left lateral tilt or manual uterine displacement to prevent supine hypotensive syndrome.,SNHD Protocols - Obstetric Trauma
24,PARAMEDIC,Cardiovascular,Other,"For a patient with >20% TBSA burns, fluid resuscitation in first 8 hours should be:","[""Half of total calculated"", ""Full amount"", ""Quarter of total"", ""None until at hospital""]",0,"Half of total calculated fluid (Parkland formula) is given in first 8 hours, half in next 16 hours.",SNHD Protocols - Burn Management
25,EMT,Cardiovascular,Environmental,"In heat stroke, core temperature is typically:","["">98.6\u00b0F"", "">100\u00b0F"", "">104\u00b0F"", "">106\u00b0F""]",2,Heat stroke is defined as core temp >104°F (40°C) with altered mental status.,SNHD Protocols - Heat Emergencies
26,EMT,Respiratory,Special Cases,"In a patient with suspected spinal injury, the airway maneuver of choice is:","[""Head tilt-chin lift"", ""Jaw thrust"", ""OPA insertion"", ""NTA insertion""]",1,"Jaw thrust maneuver opens airway without extending the neck, protecting potential spinal injury.",SNHD Protocols - Spinal Injury
27,PARAMEDIC,Cardiac,Transport/Admin,"In cardiac arrest with suspected opioid overdose, when should naloxone be administered?","[""Before CPR"", ""After ROSC"", ""During CPR if IV access available"", ""Not indicated""]",2,"Naloxone may be given during CPR if opioid overdose suspected, but do NOT delay CPR/Defibrillation.",SNHD Protocols - Opioid Overdose
28,AEMT,Fluid Boluses,Adult,What type of fluid is preferred for adult bolus therapy?,"[""D5W"", ""Normal Saline (0.9% NaCl)"", ""D10"", ""Sterile Water""]",1,Isotonic crystalloids like Normal Saline or Lactated Ringer's are preferred for fluid resuscitation.,SNHD Protocols - Fluid Therapy
29,AEMT,Fluid Boluses,Pediatric,How many fluid boluses can be given to a pediatric patient before reassessment?,"[""1"", ""2"", ""3"", ""Unlimited""]",1,Typically 2 boluses (40 mL/kg total) before reassessing and considering other interventions.,SNHD Protocols - Pediatric Shock
30,AEMT,Fluid Boluses,Adult,"In sepsis with hypotension, what is the initial fluid bolus?","[""250 mL"", ""500 mL"", ""1000 mL"", ""2000 mL""]",2,30 mL/kg (typically 1000-2000 mL for adults) is the standard for septic shock.,SNHD Protocols - Sepsis
31,AEMT,Fluid Boluses,Adult,Fluid boluses are contraindicated in which condition?,"[""Hypovolemia"", ""Shock"", ""Acute pulmonary edema"", ""Trauma""]",2,Fluid boluses are contraindicated in pulmonary edema/CHF as they worsen fluid overload.,SNHD Protocols - Contraindications
32,AEMT,Fluid Boluses,Pediatric,"For a dehydrated but hemodynamically stable child, fluid administration should be:","[""Rapid bolus"", ""Slow maintenance"", ""Nothing by mouth"", ""Hypertonic solution""]",1,"Stable dehydrated children receive slow maintenance fluids, not rapid boluses.",SNHD Protocols - Pediatric Dehydration
33,AEMT,Fluid Boluses,Adult,"In hemorrhagic shock, permissive hypotension targets what SBP range?","[""60-70 mmHg"", ""80-90 mmHg"", ""100-110 mmHg"", ""120+ mmHg""]",1,Permissive hypotension targets SBP 80-90 mmHg to limit bleeding while maintaining perfusion.,SNHD Protocols - Hemorrhagic Shock
34,AEMT,Fluid Boluses,Special Cases,"For suspected tension pneumothorax, what is the priority before fluids?","[""Large bore IV"", ""Needle decompression"", ""Fluid bolus"", ""CPAP""]",1,Needle decompression is lifesaving in tension pneumothorax and takes priority.,SNHD Protocols - Chest Trauma
35,AEMT,Medications,Dosages,Albuterol dosing for asthma exacerbation is:,"[""2.5 mg via nebulizer"", ""5 mg via nebulizer"", ""10 mg via nebulizer"", ""0.5 mg via nebulizer""]",0,"Standard dose is 2.5 mg in 3 mL normal saline via nebulizer, may repeat.",SNHD Protocols - Respiratory
36,PARAMEDIC,Medications,Procedures,Glucagon for hypoglycemia can be given:,"[""IV only"", ""IM only"", ""IM or SC"", ""PO only""]",2,"Glucagon can be given IM or SC (1 mg adults, 0.5 mg children <25 kg).",SNHD Protocols - Hypoglycemia
37,PARAMEDIC,Medications,Other,Nitroglycerin is contraindicated if SBP is below:,"[""100 mmHg"", ""90 mmHg"", ""110 mmHg"", ""120 mmHg""]",1,Nitroglycerin is contraindicated if SBP <90 or >30 mmHg drop from baseline.,SNHD Protocols - ACS
38,PARAMEDIC,Medications,Dosages,Adenosine dose for SVT in adults is:,"[""3 mg rapid IV push"", ""6 mg rapid IV push"", ""12 mg rapid IV push"", ""0.5 mg/kg IV""]",1,"Start with 6 mg rapid IV push, then 12 mg if needed, then 12 mg again.",SNHD Protocols - Dysrhythmias
39,PARAMEDIC,Medications,Pediatric,Pediatric adenosine dose is:,"[""0.1 mg/kg (max 6 mg)"", ""0.5 mg/kg"", ""1 mg/kg"", ""6 mg fixed""]",0,"Pediatric adenosine: 0.1 mg/kg rapid IV (max 6 mg), then 0.2 mg/kg (max 12 mg).",SNHD Protocols - Pediatric Dysrhythmias
40,PARAMEDIC,Medications,Dosages,Amiodarone dose for cardiac arrest is:,"[""150 mg IV push"", ""300 mg IV push"", ""1 mg/kg"", ""450 mg IV push""]",1,"Cardiac arrest: 300 mg IV/IO push, may give additional 150 mg.",SNHD Protocols - Cardiac Arrest
41,AEMT,Medications,Procedures,Oral glucose can be given if the patient is:,"[""Unconscious"", ""Alert with intact gag reflex"", ""Seizing"", ""Vomiting""]",1,Oral glucose is for alert patients with intact gag reflex who can swallow.,SNHD Protocols - Hypoglycemia
42,PARAMEDIC,Medications,Dosages,Fentanyl dosing for pain management in adults:,"[""25-50 mcg IV/IM/IN"", ""100-200 mcg IV"", ""5-10 mcg IV"", ""1 mg IV""]",0,"Fentanyl 25-50 mcg IV/IM/IN, may repeat in 10 minutes.",SNHD Protocols - Pain Management
43,PARAMEDIC,Medications,Other,Fentanyl is contraindicated with:,"[""Tachycardia"", ""Hypotension or respiratory depression"", ""Hypertension"", ""Anxiety""]",1,"Fentanyl contraindicated with hypotension (SBP <90), respiratory depression, or altered LOC.",SNHD Protocols - Pain Management
44,EMT,Transport Criteria,Transport/Admin,Which patient is appropriate for waiting room triage?,"[""Chest pain with diaphoresis"", ""Sore throat, afebrile, vitals stable"", ""Respiratory distress"", ""Altered mental status""]",1,"Stable minor complaints (sore throat, minor injuries) are appropriate for waiting room.",SNHD Protocols - Triage
45,EMT,Transport Criteria,Assessment,"A patient with EtOH odor, HR 100, BP 140/90, GCS 15, no trauma should be transported:","[""Code 3"", ""BLS to appropriate facility"", ""Left with police"", ""Refused transport""]",1,Stable intoxicated patients can be transported BLS to appropriate facility.,SNHD Protocols - Intoxication
46,EMT,Transport Criteria,Assessment,"A patient found down, unresponsive, no trauma should be:","[""Left on scene"", ""Transported Code 3"", ""Transported BLS"", ""Taken home""]",1,Unresponsive patients require emergency transport and evaluation.,SNHD Protocols - Unresponsive
47,EMT,Transport Criteria,Special Cases,A patient threatening suicide requires:,"[""Police only"", ""BLS transport"", ""Emergency transport with mental health evaluation"", ""Left with family""]",2,Suicidal patients require emergency transport for mental health evaluation.,SNHD Protocols - Behavioral
48,EMT,Trauma,Scoring,The Glasgow Coma Scale assesses:,"[""Only motor response"", ""Eye, verbal, and motor response"", ""Level of pain"", ""Blood pressure""]",1,"GCS assesses eye opening, verbal response, and motor response (3-15 scale).",SNHD Protocols - GCS
49,EMT,Trauma,Trauma/Emergencies,TFTC includes which vital sign abnormalities?,"[""HR >100"", ""SBP <90, RR <10 or >29, GCS <14"", ""Temp >99\u00b0F"", ""SpO2 <95%""]",1,"TFTC includes SBP <90, RR <10 or >29, or GCS <14.",SNHD Protocols - Trauma Triage
50,EMT,Trauma,Trauma/Emergencies,Auto vs pedestrian meets trauma center criteria if impact was at:,"[""Any speed"", "">5 mph"", "">20 mph"", "">40 mph""]",0,All auto vs pedestrian incidents meet trauma center criteria regardless of speed.,SNHD Protocols - Mechanism
51,EMT,Trauma,Scoring,"A trauma patient with GCS 10, SBP 88, HR 120 meets:","[""No trauma criteria"", ""TFTC - trauma center required"", ""BLS transport OK"", ""Wait for ALS""]",1,GCS 10 (<14) and SBP 88 (<90) both meet TFTC criteria.,SNHD Protocols - Trauma Scoring
52,EMT,Trauma,Special Cases,Ejection from vehicle meets trauma center criteria:,"[""Only if >20 mph"", ""Only if rollover"", ""Yes - automatic criteria"", ""Only if unrestrained""]",2,Ejection from vehicle is automatic trauma center criteria regardless of other factors.,SNHD Protocols - Mechanism
53,EMT,Trauma,Pediatric,Pediatric trauma activation age threshold is typically under:,"[""5 years"", ""10 years"", ""15 years"", ""18 years""]",2,Many systems use <15 years for pediatric trauma criteria (falls >10 feet).,SNHD Protocols - Pediatric Trauma
54,EMT,Cardiac,Other,Adult CPR compression rate is:,"[""60-80 per minute"", ""100-120 per minute"", ""140-160 per minute"", ""As fast as possible""]",1,AHA recommends 100-120 compressions per minute for adults.,SNHD Protocols - CPR
55,EMT,Cardiac,Other,CPR compression depth for adults is:,"[""At least 1 inch"", ""At least 2 inches (5 cm)"", ""3-4 inches"", ""1.5 inches""]",1,Compress at least 2 inches (5 cm) but not more than 2.4 inches.,SNHD Protocols - CPR
