id,level,category,subcategory,question,option_0,option_1,option_2,option_3,correct_answer,explanation,source
83,AEMT,Fluid Boluses,Adult,"For a patient in septic shock who remains hypotensive after 2000 mL of fluid, what is the next step?",Repeat fluid bolus 1000 mL,Administer Atropine 1 mg,Administer Push Dose Epinephrine 1:100000,Switch to D5W infusion,2,"If SBP <90 mmHg after 2000 mL IV fluids in suspected sepsis, Push Dose Epinephrine 1:100000 is indicated.",SNHD Protocols
84,AEMT,Fluid Boluses,Burns,"What is the fluid bolus for a 14-year-old burn patient with >20% TBSA?",1000 mL NS or LR,20 mL/kg NS or LR,500 mL NS or LR,250 mL NS or LR,2,"For adults (13 years and above) with burns >20% TBSA or signs of hypoperfusion, the bolus is 500 mL NS or LR.",SNHD Protocols
85,AEMT,Fluid Boluses,Pediatric,"For a 4-year-old burn patient with signs of hypoperfusion, what is the initial fluid bolus?",500 mL NS or LR,250 mL NS or LR,125 mL NS or LR,20 mL/kg NS or LR,2,"Protocol specifies a fixed bolus of 125 mL NS or LR for burn patients 5 years or less.",SNHD Protocols
86,AEMT,Fluid Boluses,Pediatric,"What is the maximum total fluid volume for a pediatric patient in shock before contacting medical control?",20 mL/kg,40 mL/kg,60 mL/kg,80 mL/kg,2,"Pediatric fluid boluses (20 mL/kg) may be repeated to a maximum of 60 mL/kg.",SNHD Protocols
87,AEMT,Fluid Boluses,Abdominal Pain,"For an adult with abdominal pain and nausea, what is the initial fluid bolus if no signs of hypovolemia are present but hydration is needed?",250 mL NS or LR,500 mL NS or LR,1000 mL NS or LR,Fluid is contraindicated,1,"The Abdominal Pain/Nausea protocol suggests a 500 mL NS or LR bolus which may be repeated up to 2000 mL.",SNHD Protocols
88,AEMT,Fluid Boluses,Cold Injury,"In a patient with hypothermia and hypotension (SBP <90), what is the fluid resuscitation protocol?",20 mL/kg warmed NS,500 mL NS or LR (max 2000 mL),1000 mL NS or LR rapid bolus,No fluids until rewarmed,1,"Hypothermia protocol calls for 500 mL NS or LR bolus, repeated to effect SBP >90, up to max 2000 mL.",SNHD Protocols
89,AEMT,Fluid Boluses,Cardiogenic Shock,"Why are large fluid boluses generally used with caution in cardiogenic shock?",They cause rapid vasodilation,They dilute cardiac enzymes,They may precipitate or worsen pulmonary edema,They induce hypothermia,2,"Cardiogenic shock patients are at risk for pulmonary edema; protocols often specify checking lung sounds (rales) before repeating boluses.",SNHD Protocols
90,AEMT,Fluid Boluses,Hyperglycemia,"For a pediatric patient with diabetic ketoacidosis (DKA) suspicion and BGL >250 mg/dL, the fluid bolus is limited to:",10 mL/kg,20 mL/kg,30 mL/kg,40 mL/kg,1,"If DKA is suspected (BGL >250), the fluid bolus is strictly limited to 20 mL/kg to avoid cerebral edema risk.",SNHD Protocols
91,AEMT,Fluid Boluses,Allergic Reaction,"In anaphylactic shock unresponsive to epinephrine, what is the role of fluid boluses?",Contraindicated due to airway edema,500 mL bolus repeated up to 2000 mL,Small 250 mL boluses only,Fluids are second line to Diphenhydramine,1,"Hypovolemia or distributive shock in anaphylaxis should be addressed with fluid boluses (500 mL, max 2000 mL) in addition to epinephrine.",SNHD Protocols
92,AEMT,Fluid Boluses,Trauma,"In a pediatric trauma patient, how many times can the initial 20 mL/kg bolus be repeated if no rales are present?",1 time,2 times,3 times,Cannot repeat without order,1,"The pediatric trauma protocol allows the 20 mL/kg bolus to be repeated up to 2 times (total 3 boluses or 60 mL/kg).",SNHD Protocols
93,AEMT,Fluid Boluses,Hyperglycemia,"For a pediatric patient with altered mental status and BGL >250 mg/dL (not DKA specific), what is the recommended bolus?",10 mL/kg,20 mL/kg,500 mL,No fluid,0,"The Pediatric Altered Mental Status protocol specifies a 10 mL/kg bolus if BGL >250 mg/dL to avoid rapid fluid shifts.",SNHD Protocols94,AEMT,Fluid Boluses,General,"What is the maximum fluid bolus amount for an adult patient in shock before considering push dose pressors?",1000 mL,2000 mL,3000 mL,4000 mL,1,"Most adult shock protocols (Sepsis, Anaphylaxis, Neurogenic) cap fluids at 2000 mL before moving to pressors.",SNHD Protocols
95,AEMT,Fluid Boluses,Heat Illness,"For a patient with heat stroke and hypotension, what is the fluid bolus regimen?",1000 mL rapid bolus,20 mL/kg rapid bolus,500 mL bolus (max 2000 mL) titrated to SBP >90,No fluids until cooled,2,"Heat-related illness protocol specifies 500 mL boluses, repeated to maintain SBP >90 mmHg, up to 2000 mL.",SNHD Protocols
96,AEMT,Fluid Boluses,Smoke Inhalation,"An adult patient with smoke inhalation and signs of hypoperfusion should receive:",1000 mL NS bolus,500 mL NS bolus (max 2000 mL),20 mL/kg NS bolus,Fluid restriction,1,"Smoke inhalation protocol aligns with other shock protocols: 500 mL bolus, repeated up to 2000 mL for hypoperfusion.",SNHD Protocols
97,AEMT,Fluid Boluses,Crush Injury,"In suspected hyperkalemia from crush injury, fluid boluses are used to:",Treat hypotension and dilute potassium,Correct acidosis only,Cool the patient,Prevent compartment syndrome,0,"Fluids help manage hypovolemia and dilute serum potassium in hyperkalemia/crush injury scenarios.",SNHD Protocols
98,AEMT,Fluid Boluses,Pediatric,"What is the fluid bolus for a 9-year-old burn patient with >20% TBSA?",125 mL NS or LR,250 mL NS or LR,500 mL NS or LR,20 mL/kg NS or LR,1,"For children aged 6-12 years with >20% TBSA burns, the protocol specifies a 250 mL NS or LR bolus.",SNHD Protocols
99,AEMT,Fluid Boluses,OB,"For a pregnant patient (>20 weeks) in cardiac arrest, fluid administration is:",Contraindicated,Standard ACLS doses,Administered via two large bore IVs rapidly,Limited to 500 mL,1,"Fluids are administered as per standard ACLS/shock protocols, but with attention to uterine displacement; no specific restriction is listed.",SNHD Protocols
100,AEMT,Fluid Boluses,Shock,"Permissive hypotension (targeting SBP 90) is NOT the goal in which shock etiology?",Hemorrhagic Shock,Traumatic Brain Injury (TBI),Septic Shock,Anaphylactic Shock,1,"In TBI, higher SBP (often >110 mmHg) is required to maintain cerebral perfusion pressure; permissive hypotension applies to hemorrhage.",SNHD Protocols
101,AEMT,Fluid Boluses,Access,"If IV access cannot be established in a shock patient, what is the immediate alternative for fluid delivery?",Subcutaneous infusion,Intraosseous (IO) access,Central line placement,Rectal fluids,1,"Intraosseous (IO) access is the immediate alternative for fluid and medication delivery in critical patients.",SNHD Protocols
102,AEMT,Fluid Boluses,Reassessment,"Which lung sound finding requires stopping a fluid bolus immediately?",Wheezing,Rales (Crackles),Rhonchi,Stridor,1,"The development of rales (crackles) indicates pulmonary edema/fluid overload, requiring immediate cessation of fluid boluses.",SNHD Protocols
