id,level,category,subcategory,question,option_0,option_1,option_2,option_3,correct_answer,explanation,source
199,AEMT,Pediatric,Medications,"Dextrose 10% (D10) is administered to a pediatric patient with hypoglycemia at a dose of:","2 ml/kg","5 ml/kg","10 ml/kg","0.5 g/kg",1,"The dose for D10 is 5 ml/kg (max 25 g).",SNHD Protocols
200,AEMT,Pediatric,Medications,"What is the pediatric dose for Albuterol via nebulizer for respiratory distress?","1.25 mg","2.5 mg","5 mg","0.083% solution",1,"The standard pediatric Albuterol dose is 2.5 mg in 3 ml.",SNHD Protocols
201,AEMT,Pediatric,Respiratory,"When treating a pediatric patient with croup, administering nebulized Epinephrine 1:1,000 is indicated if:","The patient has a fever","The patient has a seal-like bark","SpO2 is < 94%","The patient is under 1 year old",2,"Nebulized Epinephrine is indicated for croup if SpO2 < 94%.",SNHD Protocols
202,AEMT,Pediatric,Allergic Reaction,"An AEMT can administer Epinephrine 1:1,000 for anaphylaxis via which route?","IV","IO","IM","SC",2,"Epinephrine 1:1,000 is administered IM for anaphylaxis.",SNHD Protocols
203,AEMT,Pediatric,Medications,"For a newborn with a blood glucose level of < 40 mg/dL, the correct treatment is:","D10 5 ml/kg IV/IO","D10 2 ml/kg IV/IO","D25 2 ml/kg IV/IO","D50 1 ml/kg IV/IO",0,"Newborns with hypoglycemia (<40 mg/dL) receive D10 at 5 ml/kg.",SNHD Protocols
204,AEMT,Pediatric,Shock,"The correct dose for push-dose Epinephrine in a pediatric patient with shock is:","10 mcg IV/IO","0.1 mcg/kg IV/IO","1 mcg/kg IV/IO","0.01 mg/kg IV/IO",1,"Push dose epinephrine for pediatric shock is 0.1 mcg/kg.",SNHD Protocols
205,AEMT,Pediatric,Cardiac,"In pediatric cardiac arrest, the maximum single dose of Epinephrine 1:10,000 is:","0.5 mg","1 mg","2 mg","There is no maximum",1,"The maximum single dose of Epinephrine in pediatric cardiac arrest is 1 mg.",SNHD Protocols
206,AEMT,Pediatric,DKA,"Before administering a fluid bolus for pediatric DKA, you must confirm:","The patient is not vomiting","The blood glucose is > 250 mg/dL","The patient is febrile","The patient has a patent airway",1,"The DKA fluid limit applies specifically when BGL > 250 mg/dL.",SNHD Protocols
207,AEMT,Pediatric,Respiratory,"What is the concentration of Epinephrine used for nebulized treatment in croup?","1:10,000","1:1,000","1:100,000","1:50,000",1,"Epinephrine 1:1,000 (3-5 mg) is used for nebulization in croup.",SNHD Protocols
208,AEMT,Pediatric,Medications,"If a pediatric patient requires a second dose of Adenosine, the dose is:","0.1 mg/kg","0.2 mg/kg","0.3 mg/kg","6 mg",1,"The second dose of Adenosine is 0.2 mg/kg (max 12 mg).",SNHD Protocols
209,AEMT,Pediatric,Toxicology,"Sodium Bicarbonate is indicated for pediatric patients with:","Tricyclic Antidepressant (TCA) overdose","Opiate overdose","Anaphylaxis","Asthma",0,"Sodium Bicarbonate is the antidote for TCA overdose (wide QRS).",SNHD Protocols
210,AEMT,Pediatric,Medications,"Which of the following is NOT a contraindication for Acetaminophen in pediatrics?","Liver failure","Hypothermia with environmental etiology","Fever","Acetaminophen use within 4 hours",2,"Fever is an indication, not a contraindication.",SNHD Protocols
211,AEMT,Pediatric,Shock,"The maximum total volume of fluid boluses a pediatric patient can generally receive without medical control contact is:","20 ml/kg","40 ml/kg","60 ml/kg","80 ml/kg",2,"Fluid boluses can be repeated up to a maximum of 60 ml/kg.",SNHD Protocols
212,AEMT,Pediatric,Medications,"Oral Glucose is indicated for a pediatric patient with hypoglycemia who:","Is unresponsive","Is protecting their airway","Has a gag reflex but is lethargic","Is vomiting",1,"The patient must be able to protect their airway to receive oral glucose.",SNHD Protocols
213,AEMT,Pediatric,Cardiac,"When administering Atropine for pediatric bradycardia, the minimum single dose is:","0.1 mg","0.5 mg","1 mg","There is no minimum",0,"The minimum single dose of Atropine is 0.1 mg to avoid paradoxical bradycardia.",SNHD Protocols
214,AEMT,Pediatric,Transport,"If an AEMT is transporting a patient with an IV antibiotic, they must:","Discontinue the infusion immediately","Monitor the medication and patient for side effects","Increase the rate to finish the bag before arrival","Change the antibiotic to a saline flush",1,"AEMTs must monitor the infusion and the patient for side effects during transport.",SNHD Protocols
