id,level,category,subcategory,question,option_0,option_1,option_2,option_3,correct_answer,explanation,source
1,EMT,SNHD Protocols,,"For a patient in shock, what should the oxygen saturation be kept above?",94%,,,,0,94%,SNHD Protocols - Quizlet
2,EMT,SNHD Protocols,,A patient on a legal psychiatric hold may be placed in the ER waiting room,False,,,,0,False,SNHD Protocols - Quizlet
3,EMT,SNHD Protocols,,What is the goal of the protocol manual?,standardize prehospital care in Clark County,,,,0,standardize prehospital care in Clark County,SNHD Protocols - Quizlet
4,EMT,SNHD Protocols,,Describe a partial thickness (2nd degree burn),blistering,,,,0,blistering,SNHD Protocols - Quizlet
5,EMT,SNHD Protocols,,Oxygen therapy should be established to keep SpO2 above what level?,94%,,,,0,94%,SNHD Protocols - Quizlet
6,EMT,SNHD Protocols,,When should defibrillation be attempted during a witnessed cardiac arrest?,Immediately,,,,0,Immediately,SNHD Protocols - Quizlet
7,EMT,SNHD Protocols,,What must exist for an emergency care physician to direct a prehospital provider in rendering care that is not explicitly listed within the protocols?,"The provider must feel capable,based on the instructions given by the telemetry physician, of correctly performing the directed care. Both the telemetry physician and the provider must acknowledge and agree that the patient's condition and extraordinary care are not addressed elsewhere within these medical protocols. The telemetry physician and the provider must immediately notify the Office of EMS & Trauma System (OEMSTS) of the extraordinary care situation.",,,,0,"The provider must feel capable,based on the instructions given by the telemetry physician, of correctly performing the directed care. Both the telemetry physician and the provider must acknowledge and agree that the patient's condition and extraordinary care are not addressed elsewhere within these medical protocols. The telemetry physician and the provider must immediately notify the Office of EMS & Trauma System (OEMSTS) of the extraordinary care situation.",SNHD Protocols - Quizlet
8,EMT,SNHD Protocols,,What is recommended if hypoxia is the cause of the cardiac arrest?,Early ventilation,,,,0,Early ventilation,SNHD Protocols - Quizlet
9,EMT,SNHD Protocols,,"When transporting a patient to a remote outpatient emergency department, telemetry contact does not have to be made.",False,,,,0,False,SNHD Protocols - Quizlet
10,EMT,SNHD Protocols,,What is the ideal scene time for a patient having a stroke?,Less than 10 minutes,,,,0,Less than 10 minutes,SNHD Protocols - Quizlet
11,EMT,SNHD Protocols,,Localized cold injuries should be rubbed to warm the skin,False,,,,0,False,SNHD Protocols - Quizlet
12,EMT,SNHD Protocols,,"For a patient to be transported to an approved alcohol and drug abuse facility, the pulse rate must be between what range?",60-120,,,,0,60-120,SNHD Protocols - Quizlet
13,EMT,SNHD Protocols,,Which of the following should be performed for a patient with hyperthermia?,"Remove from environment, Temperature measurement, Remove tight clothing, Passive cooling measures",,,,0,"Remove from environment, Temperature measurement, Remove tight clothing, Passive cooling measures",SNHD Protocols - Quizlet
14,EMT,SNHD Protocols,,What type of patients should ambulance attendants transfer?,only those whose therapy required during transfer lies within the attendant's capabilities,,,,0,only those whose therapy required during transfer lies within the attendant's capabilities,SNHD Protocols - Quizlet
15,EMT,SNHD Protocols,,Describe a dystonic reaction,"Involuntary muscle movements or spasms of the face, neck, and upper extremities. Typically an adverse reaction to drugs such as Haloperidol",,,,0,"Involuntary muscle movements or spasms of the face, neck, and upper extremities. Typically an adverse reaction to drugs such as Haloperidol",SNHD Protocols - Quizlet
16,EMT,SNHD Protocols,,Patients placed on backboard for extrication or movement should not be moved to a soft mattress,False,,,,0,False,SNHD Protocols - Quizlet
17,EMT,SNHD Protocols,,"If cardiac arrest is witnessed by EMS or CPR in progress and patient is unresponsive with no pulse, begin CPR at 30 compressions and two ventilations",False (need to do CCC),,,,0,False (need to do CCC),SNHD Protocols - Quizlet
18,EMT,SNHD Protocols,,Deep suctioning is recommended during neonatal resuscitation,False,,,,0,False,SNHD Protocols - Quizlet
19,EMT,SNHD Protocols,,"For a patient to be transported to an approved alcohol and drug abuse facility, the GCS score must be above what level?",14,,,,0,14,SNHD Protocols - Quizlet
20,EMT,SNHD Protocols,,What level trauma center is UMC?,1,,,,0,1,SNHD Protocols - Quizlet
21,EMT,SNHD Protocols,,What does optimal prehospital care result from?,(1) Careful patient assessment (2) Appropriate medical consultation (3) essential prehospital emergency medical services,,,,0,(1) Careful patient assessment (2) Appropriate medical consultation (3) essential prehospital emergency medical services,SNHD Protocols - Quizlet
