id,level,category,subcategory,question,option_0,option_1,option_2,option_3,correct_answer,explanation,source
54,AEMT,Medications,Actions,What is the action of Benadryl?,Antihistamine/block histamine receptors,Bronchodilator,Anti-inflammatory,Vasoconstrictor,0,Benadryl (Diphenhydramine) is an antihistamine that works by blocking histamine H1 receptors. It is used for allergic reactions and dystonic reactions.,SNHD Protocols
55,AEMT,Medications,Class,What class of medication is glucagon?,Hormone that raises blood glucose,Insulin, Corticosteroid, Beta-blocker,0,Glucagon is a hormone that stimulates glycogen breakdown in the liver to raise blood glucose levels. Used for hypoglycemia when IV access is unavailable.,SNHD Protocols
56,AEMT,Neonatal,Neonatal,What score does grimace get on the APGAR scale?,0 to 2,0 to 1,0 to 3,1 to 5,0,APGAR Grimace (reflex irritability) is scored 0 (no response) 1 (grimace/feeble cry) or 2 (sneeze/cough/pull away). Total APGAR is 0-10 at 1 and 5 minutes.,SNHD Protocols
57,AEMT,Transport Criteria,Destinations,Which hospital does air transport go?,UMC (Level 1 Trauma),Any nearest hospital,St. Rose Siena,Sunrise Hospital,0,Air transport typically goes to UMC (University Medical Center) which is the Level 1 Trauma Center in Las Vegas with full trauma capabilities.,SNHD Protocols
58,AEMT,Pediatric,Burns,A 6 year old with 15% 2nd and 3rd degree TBSA burns should get what bolus of NS or LR?,300 mL (20 mL/kg),150 mL (10 mL/kg),600 mL (40 mL/kg),1000 mL (adult dose),0,Pediatric fluid resuscitation for burns is 20 mL/kg bolus. For a 6-year-old (approx 15 kg): 15 kg × 20 mL/kg = 300 mL.,SNHD Protocols
59,AEMT,Pediatric,Medications,What naloxone dose should you give a pediatric patient that weighs 20kg who has taken her mother's pain meds?,2 mg (0.1 mg/kg max),0.5 mg,1 mg,4 mg,0,Pediatric naloxone dose is 0.1 mg/kg with a maximum single dose of 2 mg. For 20 kg: 20 × 0.1 = 2 mg (max reached).,SNHD Protocols
60,AEMT,Medications,Class,Ondansetron is which class of medication?,Antiemetic (5-HT3 antagonist),Antihistamine,Bronchodilator,Antibiotic,0,Ondansetron (Zofran) is a 5-HT3 receptor antagonist antiemetic used for nausea and vomiting. Dose: 4 mg IV/IM for adults.,SNHD Protocols
61,AEMT,Trauma,Scoring,What trauma field triage criteria does pelvic fracture go into?,Step 2 (High risk),Step 1 (Physiologic),Step 3 (Mechanism),Step 4 (Special considerations),0,Pelvic fracture is a Step 2 (Anatomic criteria) trauma field triage criterion requiring transport to Level 1 or 2 trauma center.,SNHD Protocols
62,AEMT,Fluid Boluses,Adult,"An adult male with non-traumatic abdominal pain is hypovolemic, what is the correct initial bolus dose?",1000 mL NS or LR,250 mL,500 mL,2000 mL,0,Adult fluid bolus for hypovolemia/shock is 1000 mL of isotonic crystalloid (NS or LR). Reassess after each bolus.,SNHD Protocols
63,AEMT,Medications,,An expected side effect after administering a bronchodilator would be?,Tachycardia,Hypotension,Bradycardia,Decreased respiratory rate,0,Albuterol and other beta-agonist bronchodilators cause tachycardia as a common side effect due to beta-1 receptor stimulation.,SNHD Protocols
