id,level,category,subcategory,question,option_0,option_1,option_2,option_3,correct_answer,explanation,source
103,EMT,SNHD Protocols,Transport Criteria,"For a patient to be transported to an approved alcohol and drug abuse facility, the pulse rate must be between what range?",50-100,60-120,70-130,80-140,1,"SNHD Protocol for Alcohol and Drug Abuse Facility Transport requires a pulse rate between 60-120 bpm.",SNHD Protocols - Quizlet
104,EMT,SNHD Protocols,Hyperthermia,"Which of the following should be performed for a patient with hyperthermia?",Active warming with heat packs,Remove from environment/Passive cooling,Ice water immersion,Administer antipyretics immediately,1,"Treatment includes removal from environment, temperature measurement, removing tight clothing, and passive cooling.",SNHD Protocols - Quizlet
105,EMT,SNHD Protocols,Transfer,"What type of patients should ambulance attendants transfer?",Any patient requested by a physician,Only those whose therapy lies within their capabilities,All critical care patients,Only stable patients requiring no monitoring,1,"Attendants should only transfer patients whose therapy requirements during transfer lie within the attendant's capabilities.",SNHD Protocols - Quizlet
106,EMT,SNHD Protocols,Dystonic Reaction,"Describe a dystonic reaction",Sudden onset of high fever and rigidity,Involuntary muscle movements/spasms of face/neck,Profound hypotension and bradycardia,Generalized tonic-clonic seizure,1,"Dystonic reactions are characterized by involuntary muscle movements or spasms, often of the face, neck, and upper extremities.",SNHD Protocols - Quizlet
107,EMT,SNHD Protocols,CPR,"If cardiac arrest is witnessed by EMS or CPR in progress and patient is unresponsive with no pulse, begin CPR at 30 compressions and two ventilations",TRUE,FALSE,,,1,"SNHD protocols emphasize Continuous Chest Compressions (CCC) or specific sequences depending on the scenario, not immediately 30:2 for all witnessed arrests.",SNHD Protocols - Quizlet
108,EMT,SNHD Protocols,Transport Criteria,"For a patient to be transported to an approved alcohol and drug abuse facility, the GCS score must be above what level?",12,13,14,15,2,"GCS must be 14 or higher for transport to alcohol/drug abuse facilities.",SNHD Protocols - Quizlet
109,EMT,SNHD Protocols,Prehospital Care,"What does optimal prehospital care result from?",Strict adherence to algorithms only,Careful assessment/consultation/essential services,Rapid transport without intervention,Physician presence on every scene,1,"Optimal care results from careful patient assessment, appropriate medical consultation, and essential prehospital emergency medical services.",SNHD Protocols - Quizlet
110,EMT,SNHD Protocols,Protocols,"What protocols must be followed in the specific sequence noted?",General assessment,Trauma Triage,Cardiac Arrest,All protocols,0,"The General Assessment protocol provides the foundational sequence, though clinical judgment applies.",SNHD Protocols - Quizlet
111,EMT,SNHD Protocols,Pediatrics,"What is the most common cause of bradycardia in a child?",Congenital heart defect,Hypoxemia,Drug ingestion,Hypothermia,1,"Hypoxemia is the most common cause of bradycardia in pediatric patients.",SNHD Protocols - Quizlet
112,EMT,SNHD Protocols,Drowning,"For a drowning victim in cardiac arrest, what should emphasis be placed on?",Defibrillation,Oxygenation/ventilation,Warming,Fluid boluses,1,"Emphasis is on oxygenation and ventilation because hypoxia is the primary cause of cardiac arrest in drowning.",SNHD Protocols - Quizlet
113,EMT,SNHD Protocols,Pediatrics,"How much does a leg represent in a pediatric patient in the rule of 9's?",9%,14%,18%,20%,1,"In pediatric patients, each leg represents approximately 14% of the total body surface area.",SNHD Protocols - Quizlet
114,EMT,SNHD Protocols,Trauma Transport,"Adult trauma calls that meet Step 1 or 2 of the Trauma Field Triage Criteria Protocol and occur within the St. Rose Dominican Hospital - Siena Campus Catchment Area are to be transported to Sunrise Hospital & Medical Center",TRUE,FALSE,,,0,"Trauma calls meeting Step 1 or 2 in the St. Rose Siena catchment area are directed to Sunrise Hospital (Level 2 Trauma Center).",SNHD Protocols - Quizlet
115,EMT,SNHD Protocols,Spinal Injury,"When are backboard indicated?",Routine transport for comfort,Extrication/patient movement,All trauma patients,Patients with neck pain only,1,"Backboards are primarily indicated for extrication and patient movement to a soft mattress, not for routine transport.",SNHD Protocols - Quizlet
116,EMT,SNHD Protocols,Trauma Transport,"The St. Rose Siena catchment area is for all trauma calls that meet Step 3 or in the provider's judgment meet Step 4 of the Trauma Field Triage Criteria Protocol and occur within the City of Henderson",TRUE,FALSE,,,0,"Lower acuity trauma (Step 3 or 4) in the Henderson area is transported to St. Rose Siena.",SNHD Protocols - Quizlet
117,EMT,SNHD Protocols,Burns,"How should oxygen be delivered to patients with smoke inhalation?",Nasal cannula 2-4 LPM,Simple face mask 6-10 LPM,100% NRB,Venturi mask 50%,2,"Patients with smoke inhalation require high-flow oxygen via Non-Rebreather Mask (NRB).",SNHD Protocols - Quizlet
118,EMT,SNHD Protocols,Spinal Injury,"Patients with a possible spinal injury found in motor vehicles should not be asked if they are able to exit the motor vehicle on their own",TRUE,FALSE,,,1,"Self-extrication can be considered if the patient is stable and able to do so without exacerbating injury; 'should not be asked' is False.",SNHD Protocols - Quizlet
119,EMT,SNHD Protocols,Airway,"In patients in which the ability to ventilate cannot be established, where shall the patient be transported to?",Trauma center,The nearest emergency department,Pediatric center,Base hospital,1,"If ventilation cannot be established, the patient must be transported to the nearest emergency department immediately.",SNHD Protocols - Quizlet
120,EMT,SNHD Protocols,Shock,"What are possible causes of Cardiogenic Shock?",Hemorrhage and dehydration,Myocardial contusion/Heart failure/MI,Sepsis and infection,Anaphylaxis,1,"Cardiogenic shock causes include MI, heart failure, myocardial contusion, toxins, and cardiomyopathy.",SNHD Protocols - Quizlet
121,EMT,SNHD Protocols,Spinal Injury,"When is cervical stabilization not performed?",Blunt trauma with neck pain,Penetrating trauma to head/neck without neuro deficit,Fall from height,MVC with rollover,1,"Cervical stabilization is not indicated for penetrating trauma to the head/neck unless there is a neurological deficit.",SNHD Protocols - Quizlet
122,EMT,SNHD Protocols,Patient Care,"When should patient care be rendered?",On scene only,En route to a definitive treatment facility,In the waiting room,After admission,1,"Care should be rendered en route to a definitive treatment facility to minimize delays.",SNHD Protocols - Quizlet
123,EMT,SNHD Protocols,Defibrillation,"Adult pads may be used on children weighing more than how much?",10 kg,15 kg,20 kg,25 kg,1,"Adult defibrillation pads may be used on children weighing more than 15 kg.",SNHD Protocols - Quizlet
124,EMT,SNHD Protocols,Trauma,"A patient who meets step 2 of the Trauma Triage Field Criteria, must be transported to what level trauma center?",Level 3,Level 1 or 2,Any hospital,Pediatric center,1,"Step 1 and 2 trauma patients require transport to a Level 1 or 2 Trauma Center.",SNHD Protocols - Quizlet
125,EMT,SNHD Protocols,Burns,"What does the Parkland burn Formula define?",Depth of burn,Body surface area burned,Fluid resuscitation volume over 24 hours,Pain medication dosage,2,"The Parkland Formula calculates the total fluid resuscitation volume needed over the first 24 hours for burn patients.",SNHD Protocols - Quizlet
126,EMT,SNHD Protocols,Neonatal,"What is a normal blood glucose reading in a newborn?",20 mg/dL,30 mg/dL,40 mg/dL,60 mg/dL,2,"A normal blood glucose reading in a newborn is generally considered to be 40 mg/dL or higher.",SNHD Protocols - Quizlet
127,EMT,SNHD Protocols,Drowning,"If a drowning victim has foam in the airway, the foam should be suctioned out initially",TRUE,FALSE,,,1,"Suctioning foam is often ineffective as it re-accumulates; priority is ventilation.",SNHD Protocols - Quizlet
128,EMT,SNHD Protocols,Pediatric Centers,"Which of the following are approved pediatric centers?",Summerlin/UMC/St. Rose Siena/Sunrise,Valley/Desert Springs,Mountain View/Centennial,Spring Valley/Henderson,0,"Approved pediatric centers include Summerlin Hospital, UMC, St. Rose Siena, and Sunrise Hospital.",SNHD Protocols - Quizlet
129,EMT,SNHD Protocols,OB,"How long can postpartum eclampsia/pre-eclampsia present after childbirth?",1 week,2 weeks,4 weeks,Up to 6 weeks,3,"Postpartum eclampsia/pre-eclampsia can present up to 6 weeks after childbirth.",SNHD Protocols - Quizlet
130,EMT,SNHD Protocols,Neonatal,"What is the compression to ventilation ratio in neonatal resuscitation?",15:2,30:2,3:1,5:1,2,"The compression to ventilation ratio for neonatal resuscitation is 3:1.",SNHD Protocols - Quizlet
131,EMT,SNHD Protocols,Medications,"What medications can be administered or monitored during an inter facility transfer?",Any medication requested,Only oxygen,All medications on official drug inventory per protocol/license,No medications,2,"Attendants can monitor/administer medications listed on the official drug inventory appropriate for their level of licensure.",SNHD Protocols - Quizlet
132,EMT,SNHD Protocols,Waiting Room,"A patient may be placed in the ER waiting room if their respiratory rate is in what range?",8-30,10-20,12-24,16-24,1,"Normal respiratory rate for waiting room eligibility is typically 10-20 breaths per minute.",SNHD Protocols - Quizlet
133,EMT,SNHD Protocols,Spinal Injury,"Cervical stabilization is performed on any patient with a potential for spinal injury when which of the following criteria are met?",Only if they ask for it,Patient with AMS/Deficit/Intoxication/Distracting injury,Only for neck pain,Only for unconscious patients,1,"Criteria include AMS, focal neuro deficit, intoxication, distracting injury, or midline tenderness.",SNHD Protocols - Quizlet
134,EMT,SNHD Protocols,Trauma,"Step 2 of the TFTC assess or measures what?",Physiology,Anatomy of injury,Mechanism of injury,Special considerations,1,"Step 2 of the Trauma Field Triage Criteria assesses anatomy of the injury.",SNHD Protocols - Quizlet
135,EMT,SNHD Protocols,Stroke,"What has to be documented for a patient having a stroke?",Family history of stroke,Last known normal/Witness contact/Cincinnati Stroke Scale,Insurance information,Primary care physician name,1,"Documentation must include Last Known Normal, Witness name/number, and Cincinnati Stroke Scale results.",SNHD Protocols - Quizlet
136,EMT,SNHD Protocols,Pediatric Transport,"The Pediatric Patient Destination protocol is used for patients less than 18 years of age",TRUE,FALSE,,,0,"The pediatric destination protocol applies to patients under 18 years old.",SNHD Protocols - Quizlet
137,EMT,SNHD Protocols,Burns,"Where should a pediatric burn patient be transported to?",Sunrise Hospital,UMC Pediatric ED,St. Rose Siena,Summerlin Hospital,1,"Pediatric burn patients should typically be transported to UMC Pediatric ED (Trauma/Burn center).",SNHD Protocols - Quizlet
138,EMT,SNHD Protocols,OB,"Choose all that apply if there is an umbilical cord presentation during childbirth",Push cord back in,Clamp and cut cord immediately,Lift baby off cord/Keep cord moist/Trendelenburg,Pull on cord to deliver placenta,2,"Interventions include lifting the baby off the cord, keeping the cord moist, and positioning the mother.",SNHD Protocols - Quizlet
139,EMT,SNHD Protocols,Heat Illness,"Which of the following describes heat cramps?",High fever and AMS,Normal/elevated temp with muscle cramping/weakness,Profuse sweating with hypotension,Hot dry skin with coma,1,"Heat cramps present with normal to elevated temperature, weakness, and muscle cramping.",SNHD Protocols - Quizlet
140,EMT,SNHD Protocols,Trauma,"Step 4 of the TFTC assess or measures what?",Physiology,Anatomy,Mechanism,Special considerations,3,"Step 4 of the Trauma Field Triage Criteria assesses special considerations (age, bleeding disorders, burns, etc.).",SNHD Protocols - Quizlet
141,EMT,SNHD Protocols,Behavioral,"What are possible causes of a patient's behavior experiencing a behavioral emergency?",Psychiatric diagnosis only,Hypoglycemia/Hypoxia/Intoxication/Head Injury,Normal stress reaction,Lack of sleep only,1,"Behavioral emergencies can be caused by medical issues like hypoglycemia, hypoxia, intoxication, head injury, etc.",SNHD Protocols - Quizlet
142,EMT,SNHD Protocols,Cardiac Arrest,"Resuscitation for a medical arrest may be terminated when which of the following conditions are met?",Family request only,Physician approval/Persistent asystole/Effective airway/ACLS meds given,After 10 minutes of CPR,If patient is old,1,"Termination requires physician approval, persistent asystole/agonal rhythm, effective airway, and appropriate ACLS measures (or 20 min CPR).",SNHD Protocols - Quizlet
143,EMT,SNHD Protocols,Patient Definition,"What is the definition of a patient?",Anyone at the scene,Person with complaint/evidence of injury or illness/3rd party request,Only those who consent to transport,Only those with life threats,1,"A patient is a person with a complaint, evidence of illness/injury, or identified by a caller as requiring evaluation.",SNHD Protocols - Quizlet
